Genus,Species,tmax_metric,tmax_acc,tmax_acc_days,tmax_acc_type,tmax_col_time_if_field_fresh,tmax,lat_max,long_max,no_NicheMapR_data,altitude,Phylum,Class,Order,Family,Realm,REF_max,citation_details_or_paper_in_which_data_were_compiled,notes.2017,NM_1cm_airshade,NM_2m_airshade,NM_exposed_bodytemp,NM_exposed_air,NM_exposed_body_wet,NM_shade_body_wet,NMGHCND_2m_airshade,NMGHCND_exposed_Te,NMGHCND_exposed_Te_wet,NMGHCND_2m_airshade95,NMGHCND_exposed_Te95,NMGHCND_exposed_Te_wet95,NMGHCND_shade_Te_wet,NMGHCND_shade_Te_wet95
Ctenotus,regius,crit,35,NA,,,45.1,-30,150,,NA,Chordata,Reptilia,Squamata,Scincidae,Terrestrial,Bennett_and_John-Alder_1986,Sunday_et_al_PRSB_2011,,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Egernia,striolata,crit,35,NA,,,44.2,-30,150,,NA,Chordata,Reptilia,Squamata,Scincidae,Terrestrial,Bennett_and_John-Alder_1986,Sunday_et_al_PRSB_2011,,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Eremiascincus,richardsonii,crit,35,NA,,,42,-30,150,,NA,Chordata,Reptilia,Squamata,Scincidae,Terrestrial,Bennett_and_John-Alder_1986,Sunday_et_al_PRSB_2011,,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Tiliqua,rugosa,crit,35,NA,,,43,-30,150,,NA,Chordata,Reptilia,Squamata,Scincidae,Terrestrial,Bennett_and_John-Alder_1986,Sunday_et_al_PRSB_2011,,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Hemiergis,peronii,crit,25,NA,,,38.6,-30,150,,NA,Chordata,Reptilia,Squamata,Scincidae,Terrestrial,Bennett_and_John-Alder_1986/Greer_1980,Sunday_et_al_PRSB_2011,p.93,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Amphibolurus,decresii,crit,NA,NA,,,43.8,-30,150,,NA,Chordata,Reptilia,Squamata,Agaidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Filed fresh; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Amphibolurus,diemensis,crit,NA,NA,,,44.8,-30,150,,NA,Chordata,Reptilia,Squamata,Agaidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Filed fresh; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Amphibolurus,muricatus,crit,NA,NA,,,42.3,-30,150,,NA,Chordata,Reptilia,Squamata,Agaidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Filed fresh; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Austrelaps,superbus,crit,NA,NA,,,41.2,-30,150,,NA,Chordata,Reptilia,Squamata,Elapidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Filed fresh; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Bassiana,duperreyi,crit,NA,NA,,,43.5,-30,150,,NA,Chordata,Reptilia,Squamata,Scincidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,synonym of Leiolopisma trilineatum; Mia misunderstood data that I sent - which was a summary to tmax data in paper - not tmax_acc. Therefore replaced tmax_acc with NA. Only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Egernia,cunninghami,crit,NA,NA,,,41.9,-30,150,,NA,Chordata,Reptilia,Squamata,Scincidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Filed fresh; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Egernia,inornata,crit,NA,NA,,,41.6,-30,150,,NA,Chordata,Reptilia,Squamata,Scincidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Filed fresh; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Egernia,saxatilis,crit,NA,NA,,,41.8,-30,150,,NA,Chordata,Reptilia,Squamata,Scincidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Filed fresh; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Egernia,whitii,crit,NA,NA,,,41.8,-30,150,,NA,Chordata,Reptilia,Squamata,Scincidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Filed fresh; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Eulamprus,kosciuskoi,crit,NA,NA,,,40.2,-30,150,,NA,Chordata,Reptilia,Squamata,Scincidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Filed fresh; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Eulamprus,quoyi,crit,NA,NA,,,39.8,-30,150,,NA,Chordata,Reptilia,Squamata,Scincidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Filed fresh; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Gehyra,variegata,crit,NA,NA,,,43.8,-30,150,,NA,Chordata,Reptilia,Squamata,Gekkonidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Filed fresh; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Hemiergis,decresiensis,crit,NA,NA,,,39.3,-30,150,,NA,Chordata,Reptilia,Squamata,Scincidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Filed fresh; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Heteronotia,binoei,crit,NA,NA,,,40.6,-30,150,,NA,Chordata,Reptilia,Squamata,Gekkonidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Filed fresh; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Lampropholis,delicata,crit,NA,NA,,,40.8,-30,150,,NA,Chordata,Reptilia,Squamata,Scincidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Filed fresh; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Leiolopisma,guichenoti,crit,NA,NA,,,42,-30,150,,NA,Chordata,Reptilia,Squamata,Scincidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Changed citation year to correct year. Field fres; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
