"Genus","Species","tmax_metric","tmax_acc","tmax_acc_days","tmax_acc_type","tmax_col_time_if_field_fresh","tmax","lat_max","long_max","no_NicheMapR_data","altitude","Phylum","Class","Order","Family","Realm","REF_max","citation_details_or_paper_in_which_data_were_compiled","notes.2017","NM_1cm_airshade","NM_2m_airshade","NM_exposed_bodytemp","NM_exposed_air","NM_exposed_body_wet","NM_shade_body_wet","thermy","weight","weight_source","length","notes","NMGHCND_2m_airshade95","NMGHCND_exposed_Te95","NMGHCND_exposed_Te_wet95","NMGHCND_shade_Te_wet95","NMGHCND_exposed_Tb95","NMGHCND_exposed_Tb_wet95","NMGHCND_shade_Tb_wet95","NMGHCND_2m_shade_Tb95"
"Eremias","multiocellata","crit",28,NA,"","",41,41.4,106.9,"",1000,"Chordata","Reptilia","Squamata","Lacertidae","Terrestrial","Li_2009","Sunday_et_al_PNAS_2014","",27.58503151,26.20300293,52.48443604,40.57909775,29.31672859,17.18720818,"ectotherm",10.98,"Slavenko et al. 2016 database",NA,NA,22.8700927734375,45.6375902175903,23.5291557312012,16.0332660675049,45.6375707948582,23.5291529624506,16.0332654665512,22.8700938674669
"Eremiascincus","fasciolatus","crit",35,NA,"","",41.2,-27.75,140.72,"",NA,"Chordata","Reptilia","Squamata","Scincidae","Terrestrial","Bennett_and_John-Alder_1986","Sunday_et_al_PRSB_2011","",39.31664276,37.71640015,64.55716705,52.38818359,33.7028389,21.87859535,"ectotherm",42.45,"Slavenko et al. 2016 database",NA,NA,35.5174530029297,59.2725452423096,30.4282727241516,21.9832297325134,59.2715525712932,30.4273225974486,21.9822664803758,35.5176937220588
"Eremiascincus","richardsoni","crit",25,NA,"","",42,-34.57,139.57,"",0,"Chordata","Reptilia","Squamata","Scincidae","Terrestrial","Bennett_1986","Sunday_et_al_PNAS_2014","",33.04485703,31.40286255,61.28746796,48.3489151,33.02340698,19.20618057,"ectotherm",46.58,"Slavenko et al. 2016 database",NA,NA,28.3101196289062,52.8508655548095,28.6215553283691,19.22421875,52.849933682576,28.6199708918792,19.2244820949639,28.309565123848
"Eremiascincus","richardsonii","crit",35,NA,"","",42,-30,150,"",NA,"Chordata","Reptilia","Squamata","Scincidae","Terrestrial","Bennett_and_John-Alder_1986","Sunday_et_al_PRSB_2011","",33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,NA,NA,NA,NA,NA,29.2859649658203,55.9251811981201,30.4193519592285,20.7009906768799,NA,NA,NA,NA
"Erthemis","simplicicollis","crit",25,NA,"","",46.5,29.6,-82.3,"",55,"Arthropoda","Insecta","Odonata","Libellulidae","Terrestrial","May_1978","Sunday_et_al_PNAS_2014","",33.61157608,32.71127319,55.40496063,45.65523529,35.16519928,26.24110603,"ectotherm",0.0793,"mean from Brose et al. dataset",NA,NA,30.9857788085938,50.8137338638306,32.5436080932617,25.6133712768555,50.8137338638306,32.5436080932617,25.6133712768555,30.9857788085938
"Erythemis","credula","crit",25,NA,"","",45.6,9.16,-79.83,"",0,"Arthropoda","Insecta","Odonata","Libellulidae","Terrestrial","May_1978","Sunday_et_al_PNAS_2014","",33.04187393,31.61590576,56.63716888,45.21140289,35.94732285,26.49520493,"ectotherm",0.0793,"mean from Brose et al. dataset",NA,NA,30.2622833251953,52.8716695785522,31.6640950202942,26.5735593795776,52.8716695785522,31.6640950202942,26.5735593795776,30.2622833251953
"Erythemis","plebeja","crit",25,NA,"","",46.8,9.16,-79.83,"",0,"Arthropoda","Insecta","Odonata","Libellulidae","Terrestrial","May_1978","Sunday_et_al_PNAS_2014","",33.04187393,31.61590576,56.63716888,45.21140289,35.94732285,26.49520493,"ectotherm",0.0793,"mean from Brose et al. dataset",NA,NA,30.2622833251953,52.8716695785522,31.6640950202942,26.5735593795776,52.8716695785522,31.6640950202942,26.5735593795776,30.2622833251953
"Eucidaris","tribuloides","crit",24,90,"field_fresh","",36,-7.89,-14.38,"",0,"Echinodermata","Echinoidea","Cidaroida","Cidaridae","Marine","Morley_et_al2016","Journal_of_the_Marine_Biological_Association_of_the_United_Kingdom_2016_96(1)_159_165","added acclimation; some more species from antarctica could be added",NA,NA,NA,NA,NA,NA,"ectotherm",NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eucinostomus","gracilis","crit",26.5,90,"field_fresh","",38,2.96,-78.2,"",0,"Chordata","Actinopterygii","Perciformes","Gerreidae","Marine","Mora_and_Ospina_2001;_2002","Sunday_et_al_PRSB_2011","added acclimation",NA,NA,NA,NA,NA,NA,"ectotherm",195.1813297,"fishbase from LW relationship",21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eudorella","splendida","leth",-1.8,90,"field_fresh","",15,-77.8,166.67,"",0,"Arthropoda","Malacostraca","Cumacea","Leuconidae","Marine","Bates_et_al_2010","Sunday_et_al_PRSB_2011","added acclimation temp based on reported field temperature of field-fresh specimen. Removed cold tolerance as it was artificial",NA,NA,NA,NA,NA,NA,"ectotherm",1,"only up to 8.5 mm body length. See Blazewicz-Paszkowycz 2001 Polish Polar Research",0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
