Genus,Species,N,Tmax,max_metric,error,error measure,Multiple measures,max_interval_after_LT0,Tmax_2,max_metric_2,error,error measure,max_interval_before_LT100,max_pretreatment,max_ramp,lat_max,long_max,elevation_max,REF_max,location_max,N,tmin,min_metric,error,error_type,Multiple measures_min,min_interval_after_LT0,N,tmin_2,min_metric_2,error,error_type,min_interval_before_LT100,min_pretreatment,ramp_min,lat_min,long_min,elevation_min,REF_min,location_min,Phylum,Class,Order,Family,Quality of UTNZ
Gila,coerulea,,31.5,ctmax,,,N,,,,,,,20,0.3,42.5,-122,1250,Castelberry_&_Cech_1992_in_Beitinger_et_al_2000,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Cypriniformes,Cyprinidae,
Lepomis,cyanellus,10,36.2,ctmax,0.59,SD,N,,,,,,,20,0.3,33.2,-97.1,199.5,Cortemeglia_&_Beitinger_2008,1,10,3.2,ctmin,0.84,SD,N,,,,,,,,20,,33.2,-97.1,,Cortemeglia_&_Beitinger_2008,1,Chordata,Actinopteri,Perciformes,Centrarchidae,
Girella,nigricans,12,34.5,LT50,,,N,,,,,,,20,,34,-120.8,0,Doudoroff_1942,1,13,5.3,LT50,,,N,,,,,,,,20,,34,-120.8,0,Doudoroff_1942,1,Chordata,Actinopteri,Perciformes,Kyphosidae,
Atherinops,affinis,13,33.4,LT50,,,N,,,,,,,20,,33,-117.5,0,Doudoroff_1945,1,17,5.9,LT50,,,N,,,,,,,,20,,33,-117.5,0,Doudoroff_1945,1,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,
Fundulus,parvipinnis,13,36.1,LT50,,,N,,,,,,,20,,33,-117.5,0,Doudoroff_1945,1,8,2.2,LT50,,,N,,,,,,,,20,,33,-117.5,0,Doudoroff_1945,1,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,
Salmo,salar,4,31,ctmax,0.26,SE,N,,,,,,,10,0.017,54,-3,6,Elliot_1991,1,4,1,ctmin,0.33,SE,N,,,,,,,,25,0.0176,54,-3,6,Elliot_1991,1,Chordata,Actinopteri,Salmoniformes,Salmonidae,
Apogon,novemfasciatus,7,40.1,ctmax,,,Y,,,,,,,30,0.31,-5.45,123.77,0,Eme_&_Bennett_2009,1,7,12.9,ctmin,,,Y,,,,,,,,17.5,0.31,-5.45,123.77,0,Eme_&_Bennett_2009,1,Chordata,Actinopteri,Kurtiformes,Apogonidae,
Bathygobius,fuscus,7,42.4,ctmax,,,Y,,,,,,,35,0.31,-5.45,123.77,0,Eme_&_Bennett_2009,1,7,9.5,ctmin,,,Y,,,,,,,,20,0.31,-5.45,123.77,0,Eme_&_Bennett_2009,1,Chordata,Actinopteri,Perciformes,Gobiidae,
Bathygobius,sp.1,7,43,ctmax,,,Y,,,,,,,,0.31,-5.45,123.77,0,Eme_&_Bennett_2009,1,7,9.8,ctmin,,,y,,,,,,,,17.5,0.31,-5.45,123.77,0,Eme_&_Bennett_2009,1,Chordata,Actinopteri,Perciformes,Gobiidae,
Dascyllus,aruanus,7,40.5,ctmax,,,Y,,,,,,,30,0.31,-5.45,123.77,0,Eme_&_Bennett_2009,1,7,12,ctmin,,,Y,,,,,,,,17.5,0.31,-5.45,123.77,0,Eme_&_Bennett_2009,1,Chordata,Actinopteri,Perciformes,Pomacentridae,
