Genus,Species,N,Tmax,max_metric,error,error measure,Multiple measures,max_interval_after_LT0,Tmax_2,max_metric_2,error,error measure,max_interval_before_LT100,max_pretreatment,max_ramp,lat_max,long_max,elevation_max,REF_max,location_max,N,tmin,min_metric,error,error_type,Multiple measures_min,min_interval_after_LT0,N,tmin_2,min_metric_2,error,error_type,min_interval_before_LT100,min_pretreatment,ramp_min,lat_min,long_min,elevation_min,REF_min,location_min,Phylum,Class,Order,Family,Quality of UTNZ
Zora,spinimana,15,41.8,ctmax,0.3,SD,N,,,,,,,15,0.5,55.4,14.19,3,Almquist_1970,1,,,,,,,,,,,,,,,,,,,,,Arthropoda,Arachnida,Araneae,Zoridae,
Halozetes,belgicae,50,40.1,LT50,0.2,SE,N,,,,,,,15,,-46.9,37.9,20,Deere_et_al_2006,1,50,-4.7,LT50,0.15,SE,N,,,,,,,,0,,-46.9,20,35,Deere_et_al_2006,1,Arthropoda,Arachnida,Oribatida,Ameronothridae,
Halozetes,fulvus,25,39.9,LT50,0.28,SE,N,,,,,,,15,,-46.9,37.9,20,Deere_et_al_2006,1,25,-6.9,LT50,0.08,SE,N,,,,,,,,0,,-46.9,20,35,Deere_et_al_2006,1,Arthropoda,Arachnida,Oribatida,Ameronothridae,
Halozetes,marinus,50,37.9,LT50,9.69,SE,N,,,,,,,10,,-46.9,37.9,20,Deere_et_al_2006,1,50,-5.9,LT50,0.09,SE,N,,,,,,,,0,,-46.9,20,35,Deere_et_al_2006,1,Arthropoda,Arachnida,Oribatida,Ameronothridae,
Halozetes,marionensis,50,37.4,LT50,0.14,SE,N,,,,,,,5,,-46.9,37.9,20,Deere_et_al_2006,1,50,-5.4,LT50,0.13,SE,N,,,,,,,,0,,-46.9,20,35,Deere_et_al_2006,1,Arthropoda,Arachnida,Oribatida,Ameronothridae,
Podacarus,auberti,50,39.5,LT50,0.3,SE,N,,,,,,,15,,-46.9,37.9,20,Deere_et_al_2006,1,50,-5.1,LT50,0.14,SE,N,,,,,,,,0,,-46.9,20,35,Deere_et_al_2006,1,Arthropoda,Arachnida,Oribatida,Ameronothridae,
Myro,kerguelenensis,,35.4,ctmax,,,N,,,,,,,15,0.25,-46.9,37.74,99,Jumbam_et_al_2008a,1,,-6.4,ctmin,,,N,,,,,,,,15,0.25,-46.9,37.74,99,Jumbam_et_al_2008a,1,Arthropoda,Arachnida,Araneae,Desidae,
Prinerigone,vagans,,35.9,ctmax,,,N,,,,,,,15,0.25,-46.9,37.74,88,Jumbam_et_al_2008a,1,,-8.1,ctmin,,,N,,,,,,,,15,0.25,-46.9,37.74,88,Jumbam_et_al_2008a,1,Arthropoda,Arachnida,Araneae,Linyphiidae,
Misumenoides,formosipes,5,48.2,ctmax,0.2,SD,N,,,,,,,22.8,0.2,40.5,-74.5,36.9,Schmalhofer_1999,1,5,2.2,ctmin,1.8,SD,N,,,,,,,,22.8,0.2,40.5,-74.5,36.9,Schmalhofer_1999,1,Arthropoda,Arachnida,Araneae,Thomisidae,
Misumenops,asperatus,5,45.1,ctmax,1.3,SD,N,,,,,,,16.5,0.2,40.5,-74.5,36.9,Schmalhofer_1999,1,5,-1.4,ctmin,0.6,SD,N,,,,,,,,16.5,0.2,40.5,-74.5,36.9,Schmalhofer_1999,1,Arthropoda,Arachnida,Araneae,Thomisidae,
Lycosa,sp.1,8,50,LT100,,,N,,,,,,,,,9.2,-79.8,35,Scholander_et_al_1953,1,8,0,LT100,,,N,,,,,,,,,,9.2,-79.8,35,Scholander_et_al_1953,1,Arthropoda,Arachnida,Araneae,Lycosidae,
Chrysemys,picta,3,42.3,ctmax,,,N,,,,,,,,,46.72,-94.68,,Brattstrom_1965,2,,,,,,,,,,,,,,,,,,,,,Chordata,Archelosauria,Testudines,Emydidae,
Trachemys ,scripta,,41.2,ctmax,,,N,,,,,,,,,37.26,-91.36,,Brattstrom_1965,2,,,,,,,,,,,,,,,,,,,,,Chordata,Archelosauria,Testudines,Emydidae,
Gopherus,agassizii,10,39.5,ctmax,,,N,,,,,,,,,34.26,-118.78,,Brattstrom_1965,2,,,,,,,,,,,,,,,,,,,,,Chordata,Archelosauria,Testudines,Emydidae,
Cnemidocarpa,bicornuta,,29,ctmax,,,N,,,,,,,26,0.017,-45.4,167.1,0,Morley_et_al_2016,1,,,,,,,,,,,,,,,,,,,,,Chordata,Ascidiacea,Stolidobranchia,Styelidae,
Ascidia,ceratodes,,24.3,LT50,,,N,,,,,,,12,0.25,38.33,-123.06,0,Zerebecki_&_Sorte_2011,1,,,,,,,,,,,,,,,,,,,,,Chordata,Ascidiacea,Enterogona,Ascidiidae,
Distaplia,occidentalis,,21.9,LT50,,,N,,,,,,,12,0.25,38.33,-123.06,0,Zerebecki_&_Sorte_2011,1,,,,,,,,,,,,,,,,,,,,,Chordata,Ascidiacea,Enterogona,Clavelinidae,
Patiriella,brevispina,,30,ctmax,,,N,,,,,,,16,0.017,-38,148.5,0,Bates_et_al_2013,2,,,,,,,,,,,,,,,,,,,,,Echinodermata,Asteroidea,Valvatida,Asterinidae,
Odontaster,validus,,11,ctmax,,,N,,,,,,,,0.025,-67.5,-68,0,Peck_et_al_2008,1,,,,,,,,,,,,,,,,,,,,,Echinodermata,Asteroidea,Valvatida,Odontasteridae,
Eremiornis,carteri,23,40,UTNZ,,,N,,,,,,,,,-20.79,115.45,,Ambrose_et_al_1996,1,23,30,LTNZ,,,N,,,,,,,,,,-20.79,115.45,,Ambrose_et_al_1996,1,Chordata,Aves,Passeriformes,Sylviidae,1
Leipoa,ocellata,4,37,UTNZ,,,N,,,,,,,F,,-34.55,138.36,,Booth_1989,2,4,22,LTNZ,,,N,,,,,,,,F,,-34.55,138.36,,Booth_1989,2,Chordata,Aves,Galliformes,Megapodiidae,1
Fulica,atra,13,34,UTNZ,,,N,,,,,,,21,,56,10.2,,Brent_et_al_1985,1,13,20,LTNZ,,,N,,,,,,,,21,,56,10.2,,Brent_et_al_1985,1,Chordata,Aves,Gruiformes,Rallidae,1
Falco,rupicoloides,5,30,UTNZ,,,N,,,,,,,25,,-29.50416667,30.00833333,,Bush_et_al_2008,1,5,15,LTNZ,,,N,,,,,,,,25,,-29.50416667,30.00833333,,Bush_et_al_2008,1,Chordata,Aves,Falconiformes,Falconidae,2
Geococcyx,californianus,9,36,UTNZ,,,N,,,,,,,,,34,-111,,Calder_&_Schmidt-Nielsen_1967,2,9,27,LTNZ,,,N,,,,,,,,,,34,-111,,Calder_&_Schmidt-Nielsen_1967,2,Chordata,Aves,Cuculiformes,Neomorphidae,1
Lichenostomus,virescens,15,39,UTNZ,,,N,,,,,,,,,-31.57,115.51,,Collins_et_al_1980,1,15,33,LTNZ,,,N,,,,,,,,,,-31.57,115.51,,Collins_et_al_1980,1,Chordata,Aves,Passeriformes,Meliphagidae,2
Lichmera,indistincta,20,39,UTNZ,,,N,,,,,,,,,-34.12,116.62,,Collins_et_al_1980,1,20,30,LTNZ,,,N,,,,,,,,,,-34.12,116.62,,Collins_et_al_1980,1,Chordata,Aves,Passeriformes,Meliphagidae,2
Baeolophus,ridgwayi,16,35.7,UTNZ,,,N,,,,,,,,,41.5,-113.25,1700,Cooper_&_Gessaman_2004,1,12,17.1,LTNZ,,,N,,,,,,,,,,41.5,-113.25,1700,Cooper_&_Gessaman_2004,1,Chordata,Aves,Passeriformes,Paridae,1
Parus ,gambeli,14,31.5,UTNZ,,,N,,,,,,,F,,41.52,-111.3,2215,Cooper_&_Gessaman_2004,1,17,14.7,LTNZ,,,N,,,,,,,,,,41.52,-111.3,2215,Cooper_&_Gessaman_2004,1,Chordata,Aves,Passeriformes,Paridae,1
Athene,cunicularia,28,37,UTNZ,,,N,,,,,,,,,32.5,-115.34,,Coulombe_1970,1,29,25,LTNZ,,,N,,,,,,,,,,32.5,-115.34,,Coulombe_1970,1,Chordata,Aves,Strigiformes,Strigidae,1
Geophaps,plumifera,16,39,UTNZ,,,N,,,,,,,,,-21.4,118,,Dawson_&_Bennett_1973,1,16,33,LTNZ,,,N,,,,,,,,,,-21.4,118,,Dawson_&_Bennett_1973,1,Chordata,Aves,Columbiformes,Columbidae,1
Eolophus,roseicapilla,,33,UTNZ,,,N,,,,,,,F,,-31.9,115.9,,Dawson_&_Fisher_1982,2,,22.5,LTNZ,,,N,,,,,,,,F,,-31.9,115.9,,Dawson_&_Fisher_1982,2,Chordata,Aves,Psittaciformes,Cacatuidae,1
Onychognathus,tristramii,15,36.5,UTNZ,,,N,,,,,,,F,,30.38,35.25,,Dmi'el_&_Tel-Tzur_1985,2,15,21.5,LTNZ,,,N,,,,,,,,F,,30.38,35.25,,Dmi'el_&_Tel-Tzur_1985,2,Chordata,Aves,Passeriformes,Sturnidae,1
Sturnus,vulgaris,25,36.5,UTNZ,,,N,,,,,,,F,,30.75,34.85,,Dmi'el_&_Tel-Tzur_1985,2,25,29.5,LTNZ,,,N,,,,,,,,F,,30.75,34.85,,Dmi'el_&_Tel-Tzur_1985,2,Chordata,Aves,Passeriformes,Sturnidae,1
Aegotheles,cristatus,7,34.8,UTNZ,,,N,,,,,,,F,,-30.35,151.45,1000,Doucette_&_Geiser_2008,1,6,31.3,LTNZ,,,N,,,,,,,,F,,-30.35,151.45,1000,Doucette_&_Geiser_2008,1,Chordata,Aves,Caprimulgiformes,Aegothelidae,1
Thryothorus,ludovicianus,7,35,UTNZ,,,N,,,,,,,,,29.64,-82.19,,Eberhardt_1994,1,7,27,LTNZ,,,N,,,,,,,,,,29.64,-82.19,,Eberhardt_1994,1,Chordata,Aves,Passeriformes,Certhiidae,2
Tyto,alba,2,32.5,UTNZ,,,N,,,,,,,25,,28.37,-81.22,,Edwards_1987,1,2,22.5,LTNZ,,,N,,,,,,,,25,,28.37,-81.22,,Edwards_1987,1,Chordata,Aves,Strigiformes,Tytonidae,1
Thinocorus,rumicivorus,8,38,UTNZ,,,N,,,,,,,25,,-13.05,-76.43,,Ehlers_&_Morton_1982,2,8,33,LTNZ,,,N,,,,,,,,25,,-13.05,-76.43,,Ehlers_&_Morton_1982,2,Chordata,Aves,Ciconiiformes,Thinocoridae,1
Alectoris,chukar,28,38.5,UTNZ,,,N,,,,,,,,,30.86,34.76,476,Frumkin_et_al_1986,1,28,28,LTNZ,,,N,,,,,,,,,,30.86,34.76,476,Frumkin_et_al_1986,1,Chordata,Aves,Galliformes,Phasianidae,1
Alle,alle,23,20,UTNZ,,,N,,,,,,,F,,79,-11,,Gabrielsen_et_al_1991,1,23,4.5,LTNZ,,,N,,,,,,,,F,,79,-11,,Gabrielsen_et_al_1991,1,Chordata,Aves,Charadriiformes,Alcidae,1
Bubo,virginianus,4,32.2,UTNZ,,,N,,,,,,,,,33.27,-112.04,2135,Ganey_et_al_1993,1,4,20.3,LTNZ,,,N,,,,,,,,,,33.27,-112.04,2135,Ganey_et_al_1993,1,Chordata,Aves,Strigiformes,Strigidae,1
Strix,occidentalis,3,25.2,UTNZ,,,N,,,,,,,,,33.27,-111.05,2220,Ganey_et_al_1993,1,3,17,LTNZ,,,N,,,,,,,,,,33.27,-111.05,2220,Ganey_et_al_1993,1,Chordata,Aves,Strigiformes,Strigidae,1
Bycanistes,bucinator,,30,UTNZ,,,N,,,,,,,F,,-10.48,28.39,,Harji_2002,2,,24,LTNZ,,,N,,,,,,,,F,,-10.48,28.39,,Harji_2002,2,Chordata,Aves,Bucerotiformes,Bucerotidae,NA
Pica,nuttalli,12,33.5,UTNZ,,,N,,,,,,,25,,42.87,-112.26,,Hayworth_&_Weathers_1984,1,12,13.5,LTNZ,,,N,,,,,,,,25,,42.87,-112.26,,Hayworth_&_Weathers_1984,1,Chordata,Aves,Passeriformes,Corvidae,1
Pica,hudsonia,9,32.5,UTNZ,,,N,,,,,,,25,,42.87,-112.26,,Hayworth_&_Weathers_1984,1,9,21,LTNZ,,,N,,,,,,,,25,,42.87,-112.26,,Hayworth_&_Weathers_1984,1,Chordata,Aves,Passeriformes,Corvidae,1
Cardinalis,cardinalis,8,42.6,UTNZ,,,N,,,,,,,F,,32.13,-110.98,,Hinds_&_Calder_1973,1,8,29,LTNZ,,,N,,,,,,,,,,32.13,-110.98,,Hinds_&_Calder_1973,1,Chordata,Aves,Passeriformes,Fringillidae,1
Cardinalis,sinuatus,6,42.8,UTNZ,,,N,,,,,,,F,,32.13,-110.98,,Hinds_&_Calder_1973,1,6,30,LTNZ,,,N,,,,,,,,,,32.13,-110.98,,Hinds_&_Calder_1973,1,Chordata,Aves,Passeriformes,Fringillidae,1
Callipepla,californica,15,37.5,UTNZ,,,N,,,,,,,22,,34.07,-118.47,,Hudson_&_Brush_1964,1,15,27.5,LTNZ,,,N,,,,,,,,22,,34.07,-118.47,,Hudson_&_Brush_1964,1,Chordata,Aves,Galliformes,Odontophoridae,1
Zenaida,macroura,8,37.5,UTNZ,,,N,,,,,,,22,,34.07,-118.47,,Hudson_&_Brush_1964,1,8,30,LTNZ,,,N,,,,,,,,22,,34.07,-118.47,,Hudson_&_Brush_1964,1,Chordata,Aves,Columbiformes,Columbidae,1
Passer,domesticus,24,35,UTNZ,,,N,,,,,,,,,29.7,-95.4,,Hudson_&_Kimzey_1966,1,24,20,LTNZ,,,N,,,,,,,,,,29.7,-95.4,,Hudson_&_Kimzey_1966,1,Chordata,Aves,Passeriformes,Passeridae,1
Lagopus,leucura,24,38,UTNZ,,,N,,,,,,,21,,48.41,-113.71,2164,Johnson_1968,1,24,9,LTNZ,,,N,,,,,,,,21,,48.41,-113.71,2164,Johnson_1968,1,Chordata,Aves,Galliformes,Phasianidae,1
Caprimulgus ,vociferus,8,37,UTNZ,,,N,,,,,,,,,42.78,-97,,Lane_et_al_2004,1,8,25,LTNZ,,,N,,,,,,,,,,42.78,-97,,Lane_et_al_2004,1,Chordata,Aves,Caprimulgiformes,Caprimulgidae,2
Chordeiles,minor,6,39,UTNZ,,,N,,,,,,,,,45.16,-84.4,,Lasiewski_&_Dawson_1964,1,6,30,LTNZ,,,N,,,,,,,,,,45.16,-84.4,,Lasiewski_&_Dawson_1964,1,Chordata,Aves,Caprimulgiformes,Caprimulgidae,1
Agelaius,phoeniceus,24,40,UTNZ,,,N,,,,,,,F,,42.5,-82.48,,Lewies_&_Dwyer_1969,1,24,27.5,LTNZ,,,N,,,,,,,,F,,42.5,-82.48,,Lewies_&_Dwyer_1969,1,Chordata,Aves,Passeriformes,Icteridae,1
Micrathene,whitneyi,7,38,UTNZ,,,N,,,,,,,23,,31.93,-109.38,,Ligon_1968,1,7,33,LTNZ,,,N,,,,,,,,23,,31.93,-109.38,,Ligon_1968,1,Chordata,Aves,Strigiformes,Strigidae,1
Aegolius,acadicus,2,32,UTNZ,,,N,,,,,,,23,,42.28,-83.74,,Ligon_1969,1,2,24,LTNZ,,,N,,,,,,,,23,,42.28,-83.74,,Ligon_1969,1,Chordata,Aves,Strigiformes,Strigidae,1
Glaucidium,gnoma,3,35,UTNZ,,,N,,,,,,,23,,31.93,-109.38,,Ligon_1969,1,3,27,LTNZ,,,N,,,,,,,,23,,31.93,-109.38,,Ligon_1969,1,Chordata,Aves,Strigiformes,Strigidae,2
Megascops,asio,2,34,UTNZ,,,N,,,,,,,23,,42.28,-83.74,,Ligon_1969,1,2,19,LTNZ,,,N,,,,,,,,23,,31.93,-109.38,,Ligon_1969,1,Chordata,Aves,Strigiformes,Strigidae,1
Malurus,cyaneus,78,35,UTNZ,,,N,,,,,,,F,,-37.48,145,,Lill_et_al_2006,1,78,26,LTNZ,,,N,,,,,,,,F,,-37.48,145,,Lill_et_al_2006,1,Chordata,Aves,Passeriformes,Maluridae,1
Acridotheres,cristatellus,8,32.5,UTNZ,,,N,,,,,,,F,,27.29,120.51,,Lin_et_al_2010,1,8,25,LTNZ,,,N,,,,,,,,F,,27.29,120.51,,Lin_et_al_2010,1,Chordata,Aves,Passeriformes,Sturnidae,1
Syrmaticus,ellioti,6,31.6,UTNZ,,,N,,,,,,,,,25.15,110.19,,Luo_et_al_2011,3,6,24.5,LTNZ,,,N,,,,,,,,,,25.15,110.19,,Luo_et_al_2011,3,Chordata,Aves,Galliformes,Phasianidae,1
Syrmaticus,humiae,6,29.2,UTNZ,,,N,,,,,,,,,25.15,110.19,,Luo_et_al_2011,3,6,23,LTNZ,,,N,,,,,,,,,,25.15,110.19,,Luo_et_al_2011,3,Chordata,Aves,Galliformes,Phasianidae,1
Columbina,inca,10,35,UTNZ,,,N,,,,,,,,,32.13,-110.55,,MacMillen_&_Trost_1967,1,10,32,LTNZ,,,N,,,,,,,,,,32.13,-110.55,,MacMillen_&_Trost_1967,1,Chordata,Aves,Columbiformes,Columbidae,2
Aphelocoma,coerulescens,11,34,UTNZ,,,N,,,,,,,,,33.71,-117.61,,Mann_1983,1,11,12.4,LTNZ,,,N,,,,,,,,,,33.71,-117.61,,Mann_1983,1,Chordata,Aves,Passeriformes,Corvidae,2
Cyanocitta,stelleri,8,31.8,UTNZ,,,N,,,,,,,,,34.09,-116.92,,Mann_1983,1,8,28,LTNZ,,,N,,,,,,,,,,34.09,-116.92,,Mann_1983,1,Chordata,Aves,Passeriformes,Corvidae,2
Cyanerpes,cyaneus,9,35,UTNZ,,,N,,,,,,,,,10.15,-64.28,,Mata_2010,1,9,25,LTNZ,,,N,,,,,,,,,,10.15,-64.28,,Mata_2010,1,Chordata,Aves,Passeriformes,Fringillidae,2
Colius,colius,6,35,UTNZ,,,N,,,,,,,F,,-33.07,22.16,,McKechnie_&_Lovegrove_2001a,1,6,29,LTNZ,,,N,,,,,,,,F,,-33.07,22.16,,McKechnie_&_Lovegrove_2001a,1,Chordata,Aves,Coliiformes,Coliidae,2
Collocalia,esculenta,,34,UTNZ,,,N,,,,,,,,,-5.13,145.48,,McNab_&_Bonaccorso_1995,1,,31.5,LTNZ,,,N,,,,,,,,,,-5.13,145.48,,McNab_&_Bonaccorso_1995,1,Chordata,Aves,Apodiformes,Apodidae,1
Collocalia,vanikorensis,,34,UTNZ,,,N,,,,,,,,,-5.13,145.48,,McNab_&_Bonaccorso_1995,1,,30,LTNZ,,,N,,,,,,,,,,-5.13,145.48,,McNab_&_Bonaccorso_1995,1,Chordata,Aves,Apodiformes,Apodidae,1
Aramides,cajanea,2,38,UTNZ,,,N,,,,,,,,,27.56,-104.1,,McNab_&_Ellis_2006,2,2,30,LTNZ,,,N,,,,,,,,,,27.56,-104.1,,McNab_&_Ellis_2006,3,Chordata,Aves,Gruiformes,Rallidae,1
Gallirallus,owstoni,4,38,UTNZ,,,N,,,,,,,,,13.26,144.47,,McNab_&_Ellis_2006,3,4,29,LTNZ,,,N,,,,,,,,,,13.26,144.47,,McNab_&_Ellis_2006,3,Chordata,Aves,Gruiformes,Rallidae,2
Porphyrio,hochstetteri,2,31,UTNZ,,,N,,,,,,,,,-40.54,174.53,,McNab_&_Ellis_2006,3,2,9,LTNZ,,,N,,,,,,,,,,-40.54,174.53,,McNab_&_Ellis_2006,3,Chordata,Aves,Gruiformes,Rallidae,1
Porzana,cinerea,2,37,UTNZ,,,N,,,,,,,,,-31.15,146.55,,McNab_&_Ellis_2006,3,2,28,LTNZ,,,N,,,,,,,,,,-31.15,146.55,,McNab_&_Ellis_2006,3,Chordata,Aves,Gruiformes,Rallidae,2
Gallinula,mortierii,2,35,UTNZ,,,N,,,,,,,,,-41.21,146.37,,McNab_&_Ellis_2006,3,2,15,LTNZ,,,N,,,,,,,,,,-41.21,146.37,,McNab_&_Ellis_2006,3,Chordata,Aves,Gruiformes,Rallidae,2
Cyanoramphus,auriceps,7,37,UTNZ,,,N,,,,,,,,,-40.7,175,,McNab_&_Salisbury_1995,1,7,22,LTNZ,,,N,,,,,,,,,,-40.55,174.53,,McNab_&_Salisbury_1995,1,Chordata,Aves,Psittaciformes,Psittacidae,2
Cyanoramphus,novaezelandiae,8,37,UTNZ,,,N,,,,,,,,,-40.54,174.53,,McNab_&_Salisbury_1995,3,8,22,LTNZ,,,N,,,,,,,,,,-40.54,174.53,,McNab_&_Salisbury_1995,3,Chordata,Aves,Psittaciformes,Psittacidae,2
Cyanoramphus,unicolor,2,35,UTNZ,,,N,,,,,,,,,-41.17,174.53,,McNab_&_Salisbury_1995,3,2,18,LTNZ,,,N,,,,,,,,,,-41.17,174.53,,McNab_&_Salisbury_1995,3,Chordata,Aves,Psittaciformes,Psittacidae,2
Nestor,notabilis,2,28,UTNZ,,,N,,,,,,,,,-40.7,175,2,McNab_&_Salisbury_1995,1,,,,,,,,,,,,,,,,,,,,,Chordata,Aves,Psittaciformes,Psittacidae,1
Columba,vitiensis,2,34,UTNZ,,,N,,,,,,,,,-6.66,146.99,,McNab_2000a,1,2,22,LTNZ,,,N,,,,,,,,,,-6.66,146.99,,McNab_2000a,1,Chordata,Aves,Columbiformes,Columbidae,2
Ducula,zoeae,2,32,UTNZ,,,N,,,,,,,,,-6.66,146.99,,McNab_2000a,1,2,19,LTNZ,,,N,,,,,,,,,,-6.66,146.99,,McNab_2000a,1,Chordata,Aves,Columbiformes,Columbidae,1
Gymnophaps,albertisii,4,36,UTNZ,,,N,,,,,,,,,-6.66,146.99,,McNab_2000a,1,4,22,LTNZ,,,N,,,,,,,,,,-6.66,146.99,,McNab_2000a,1,Chordata,Aves,Columbiformes,Columbidae,2
Hemiphaga,novaeseelandiae,3,30,UTNZ,,,N,,,,,,,,,-40.72,175.6,,McNab_2000a,1,3,20,LTNZ,,,N,,,,,,,,,,-40.72,175.6,,McNab_2000a,1,Chordata,Aves,Columbiformes,Columbidae,1
Ptilinopus,melanospilus,1,35,UTNZ,,,N,,,,,,,,,-7.29,110,,McNab_2000a,3,1,30,LTNZ,,,N,,,,,,,,,,-7.29,110,,McNab_2000a,3,Chordata,Aves,Columbiformes,Columbidae,2
Ptilinopus,perlatus,1,32,UTNZ,,,N,,,,,,,,,-5.14,145.48,,McNab_2000a,3,1,24,LTNZ,,,N,,,,,,,,,,-5.14,145.48,,McNab_2000a,3,Chordata,Aves,Columbiformes,Columbidae,2
Aulacorhynchus,sulcatus,2,31,UTNZ,,,N,,,,,,,,,9.34,-66.08,,McNab_2001,3,2,23,LTNZ,,,N,,,,,,,,,,9.34,-66.08,,McNab_2001,3,Chordata,Aves,Piciformes,Ramphastidae,1
Ramphastos,dicolorus,2,34,UTNZ,,,N,,,,,,,,,-23.96,-57.08,,McNab_2001,3,2,20,LTNZ,,,N,,,,,,,,,,-23.96,-57.08,,McNab_2001,3,Chordata,Aves,Piciformes,Ramphastidae,2
Anas,aucklandica,2,37,UTNZ,,,N,,,,,,,,,-40.7,175.6,,McNab_2003,1,2,30,LTNZ,,,N,,,,,,,,,,-40.7,175.6,,McNab_2003,1,Chordata,Aves,Anseriformes,Anatidae,2
Anas,gracilis,3,39,UTNZ,,,N,,,,,,,,,-40.7,175.6,,McNab_2003,1,3,30,LTNZ,,,N,,,,,,,,,,-40.7,175.6,,McNab_2003,1,Chordata,Aves,Anseriformes,Anatidae,2
Tadorna,variegata,2,33,UTNZ,,,N,,,,,,,,,-40.7,175.6,,McNab_2003,1,,,,,,,,,,,,,,,,,,,,,Chordata,Aves,Anseriformes,Anatidae,1
Cnemophilus,loriae,3,32,UTNZ,,,N,,,,,,,,,-6.66,146.99,,McNab_2005,1,3,20,LTNZ,,,N,,,,,,,,,,-6.66,146.99,,McNab_2005,1,Chordata,Aves,Passeriformes,Corvidae,2
Manucodia,chalybatus,1,30,UTNZ,,,N,,,,,,,,,-6.66,146.99,,McNab_2005,1,1,20,LTNZ,,,N,,,,,,,,,,-6.66,146.99,,McNab_2005,1,Chordata,Aves,Passeriformes,Paradisaeidae,2
Paradisaea,rudolphi,3,33,UTNZ,,,N,,,,,,,,,-6.66,146.99,,McNab_2005,1,3,17,LTNZ,,,N,,,,,,,,,,-6.66,146.99,,McNab_2005,1,Chordata,Aves,Passeriformes,Paradisaeidae,2
Parotia,lawesii,2,30,UTNZ,,,N,,,,,,,,,-6.66,146.99,,McNab_2005,1,2,17,LTNZ,,,N,,,,,,,,,,-6.66,146.99,,McNab_2005,1,Chordata,Aves,Passeriformes,Paradisaeidae,2
Parotia,wahnesi,1,30,UTNZ,,,N,,,,,,,,,-6.66,146.99,,McNab_2005,1,1,22,LTNZ,,,N,,,,,,,,,,-6.66,146.99,,McNab_2005,1,Chordata,Aves,Passeriformes,Paradisaeidae,2
Alcedo,azurea,23,34,UTNZ,,,N,,,,,,,,,-5.22,145.79,,McNab_2013,1,23,19,LTNZ,,,N,,,,,,,,,,-5.22,145.79,,McNab_2013,1,Chordata,Aves,Coraciiformes,Alcedinidae,1
Crateroscelis,robusta,8,28,UTNZ,,,N,,,,,,,,,-5.31,143.52,2860,McNab_2013,1,8,11,LTNZ,,,N,,,,,,,,,,-5.31,143.52,2860,McNab_2013,1,Chordata,Aves,Passeriformes,Acanthizidae,1
Peneothello,sigillata,11,30,UTNZ,,,N,,,,,,,,,-5.31,143.52,2860,McNab_2013,1,11,10,LTNZ,,,N,,,,,,,,,,-5.31,143.52,2860,McNab_2013,1,Chordata,Aves,Passeriformes,Petroicidae,2
Pitohui,nigrescens,1,30,UTNZ,,,N,,,,,,,,,-5.96,143.07,2100,McNab_2013,1,1,13,LTNZ,,,N,,,,,,,,,,-5.96,143.07,2100,McNab_2013,1,Chordata,Aves,Passeriformes,Pachycephalidae,2
Psittacella,brehmii,4,31,UTNZ,,,N,,,,,,,,,-5.31,143.52,2860,McNab_2013,1,4,23,LTNZ,,,N,,,,,,,,,,-5.31,143.52,2860,McNab_2013,1,Chordata,Aves,Passeriformes,Pachycephalidae,1
Rhipidura,atra,6,29,UTNZ,,,N,,,,,,,,,-5.31,143.52,2860,McNab_2013,1,6,13,LTNZ,,,N,,,,,,,,,,-5.31,143.52,2860,McNab_2013,1,Chordata,Aves,Passeriformes,Rhipiduridae,1
Toxorhamphus,poliopterus,6,30,UTNZ,,,N,,,,,,,,,-5.96,143.07,2100,McNab_2013,1,6,19,LTNZ,,,N,,,,,,,,,,-5.96,143.07,2100,McNab_2013,1,Chordata,Aves,Passeriformes,Melanocharitidae,1
Melanocharis,versteri,10,30,UTNZ,,,N,,,,,,,,,-5.96,143.07,2100,McNab_2013,1,,,,,,,,,,,,,,,,,,,,,Chordata,Aves,Passeriformes,Melanocharitidae,1
Todus,mexicanus,8,32,UTNZ,,,N,,,,,,,F,,18.19,-65.45,,Merola-Zwartjes_&_Ligon_2000,1,8,29,LTNZ,,,N,,,,,,,,F,,18.19,-65.45,,Merola-Zwartjes_&_Ligon_2000,1,Chordata,Aves,Coraciiformes,Todidae,1
Coereba,flaveola,10,35,UTNZ,,,N,,,,,,,F,,18.19,-65.45,,Merola-Zwartjes_1998,1,10,25,LTNZ,,,N,,,,,,,,F,,18.19,-65.45,,Merola-Zwartjes_1998,1,Chordata,Aves,Passeriformes,Thraupidae,2
Amphispiza,belli,9,37,UTNZ,,,N,,,,,,,20,,43.5,-121.08,,Moldenhauer_1970,1,9,28,LTNZ,,,N,,,,,,,,20,,43.5,-121.08,,Moldenhauer_1970,1,Chordata,Aves,Passeriformes,Fringillidae,1
Sitta,canadensis,19,38,UTNZ,,,N,,,,,,,F,,46.51,-114,,Mugas_&_Templeton_1970,1,19,28,LTNZ,,,N,,,,,,,,F,,46.51,-114,,Mugas_&_Templeton_1970,1,Chordata,Aves,Passeriformes,Sittidae,2
Cinclus,mexicanus,,34,UTNZ,,,N,,,,,,,,,46.88,-114.21,,Murrish_1970,2,,11.5,LTNZ,,,N,,,,,,,,,,46.88,-114.21,,Murrish_1970,3,Chordata,Aves,Passeriformes,Cinclidae,1
