SpCode,PDIOrder,Genus,Species,OldName,Family,FamCode1,FamCode2,Tropical,Bask,Lat,AbsLat,Long,Locality,meanTB,Tsumday,newTopt,CTmin,CTmax,ThermalDependenceCitat,FieldTbCitat,SafeZone
SM,27,Sceloporus,Sceloporus_merriami_(from_Grapevine_Hills),Sceloporus_merriami_GRA,Iguania,4,4,0,1,29.3,29.3,-103.15,Texas,32.30,36.45,35.00,14.10,41.50,Huey_unpubl._data,Grant & Dunham 1988,-1.4500
Sv,28,Sceloporus,Sceloporus_variabilis,Sceloporus_variabilis,Iguania,4,4,1,1,10.60,10.60,-85.70,CostaRica,34.30,32.63,37.50,10.20,43.10,van Berkum 1988,van Berkum 1988,4.8667
Af,29,Ameiva,Ameiva_festiva,Ameiva_festiva,Teiidae,5,5,1,1,10.40,10.40,-83.80,"La_Selva,CostaRica",35.90,31.25,38.00,15.50,43.70,van Berkum et al. 1986,van Berkum et al. 1986,6.7500
Cm,30,Cnemidophorus,Cnemidophorus_murinus,Cnemidophorus_murinus,Teiidae,5,5,1,1,12.30,12.30,-68.50,Bonaire,40.40,31.47,38.80,-9999.00,45.20,Bennett 1980,Bennett 1980; Vitt_et_al._2005,7.3333
At,31,Aspidoscelis,Aspidoscelis_tigris,Cnemidophorus_tigris,Teiidae,5,5,0,1,43.00,43.00,-116.30,Idaho,38.20,20.53,37.60,10.50,45.10,van Berkum 1988,van Berkum 1988,17.0667
Pa,32,Psammodromus,Psammodromus_algirus,Psammodromus_algirus,Lacertidae,6,6,0,1,40.60,40.60,-5.90,Salamanca_Spain,30.10,26.95,36.10,7.00,43.50,Bauwens et al. 1995,van Damme & Vanhooydonck 2001,9.1500
Ph,33,Psammodromus,Psammodromus_hispanicus,Psammodromus_hispanicus,Lacertidae,6,6,0,1,40.40,40.40,-4.30,Madrid_Spain,30.20,28.97,35.60,8.80,45.50,Bauwens et al. 1995,van Damme & Vanhooydonck 2001,6.6333
Gy,34,Gallotia,Gallotia_simonyi,Gallotia_simonyi,Lacertidae,6,6,0,1,27.80,27.80,-17.90,ElHielo_CanaryIS,33.30,23.82,37.60,-9999.00,46.50,Cejudo & MŒrquez 2001,Diaz 1994,13.7833
Gs,35,Gallotia,Gallotia_stehlini,Gallotia_stehlini,Lacertidae,6,6,0,1,28.10,28.10,-15.40,GranCanariaIS,-9999.00,26.22,38.10,2.00,40.20,Cejudo & MŒrquez 2001,NA,11.8833
Tp,36,Takydromus,Takydromus_septentrionalis,Takydromus_septentrionalis,Lacertidae,6,6,0,1,30.20,30.20,122.20,Xiushan_China,-9999.00,29.28,31.50,4.90,42.30,Xiang et al. 1996,Xiang et al. 1996,2.2167
Tx,37,Takydromus,Takydromus_sexlineatus,Takydromus_sexlineatus,Lacertidae,6,6,0,1,24.80,24.80,113.60,Shaoguan_China,-9999.00,33.37,35.10,6.40,42.20,Zhang & Ji 2004,Zhang & Ji 2004 used Tp,1.7333
Ae,38,Acanthodactylus,Acanthodactylus_erythrurus,Acanthodactylus_erythrurus,Lacertidae,6,6,0,1,40.40,40.40,-6.00,Salamanca_Spain,33.20,28.42,39.80,-9999.00,46.30,Bauwens et al. 1995,van Damme & Vanhooydonck 2001,11.3833
hh,39,Podarcis,Podarcis_hispanica_hispanica,Podarcis_hispanica_hispanica,Lacertidae,6,6,0,1,40.50,40.50,-6.10,Salamanca_Spain,34.10,28.42,36.50,-9999.00,44.50,Bauwens et al. 1995,van Damme & Vanhooydonck 2001 Tb actually 35.8,8.0833
bc,40,Podarcis,Podarcis_bocagei,Podarcis_bocagei,Lacertidae,6,6,0,1,40.50,40.50,-6.10,Salamanca_Spain,32.30,28.42,35.70,-9999.00,45.40,Bauwens et al. 1995,van Damme & Vanhooydonck 2001,7.2833
oa,41,Podarcis,Podarcis_atrata,Podarcis_atrata,Lacertidae,6,6,0,1,39.90,39.90,0.70,ColumbretesIS_Spain,33.90,28.70,38.30,-9999.00,44.60,Bauwens et al. 1995,van Damme & Vanhooydonck 2001,9.6000
ou,42,Podarcis,Podarcis_muralis,Podarcis_muralis,Lacertidae,6,6,0,1,40.70,40.70,-4.10,Madrid_Spain,33.80,23.97,36.60,8.30,44.20,Bauwens et al. 1995,van Damme & Vanhooydonck 2001,12.6333
if,43,Podarcis,Podarcis_lilfordi,Podarcis_lilfordi,Lacertidae,6,6,0,1,39.90,39.90,4.30,MenorcaIS_Spain,33.50,27.55,38.40,-9999.00,43.30,Bauwens et al. 1995,van Damme & Vanhooydonck 2001,10.8500
Lm,44,Lacerta,Lacerta_monticola,Lacerta_monticola,Lacertidae,6,6,0,1,40.40,40.40,-4.70,Avila_Spain,33.50,25.77,35.90,-9999.00,43.60,van Damme et al. 1991,van Damme & Vanhooydonck 2001,10.1333
La,45,Lacerta,Lacerta_agilis,Lacerta_agilis,Lacertidae,6,6,0,1,51.80,51.80,5.90,Netherlands,31.50,21.57,37.90,5.90,43.90,Bauwens et al. 1995,van Damme & Vanhooydonck 2001,16.3333
Rt,46,Lacerta,Lacerta_schreiberi,Lacerta_schreiberi,Lacertidae,6,6,0,1,40.50,40.50,-6.10,Salamanca_Spain,31.10,28.42,38.90,-9999.00,43.00,Bauwens et al. 1995,van Damme & Vanhooydonck 2001,10.4833
Zv,47,Zootoca,Lacerta_vivipara,Lacerta_vivipara,Lacertidae,6,6,0,1,51.40,51.40,4.40,Antwerp_Belgium,30.20,21.30,36.50,-9999.00,40.10,Bauwens et al. 1995,many,15.2000
Pb,48,Pleistodon,Eumeces_brenchleyi,Eumeces_brenchleyi,Scincidae,7,7,0,1,31.30,31.30,120.60,Suzhou_China,-9999.00,30.38,34.00,3.30,43.60,Xu et al. 2001,Xu et al. 2001,3.6167
Pe,49,Pleistodon,Eumeces_elegans,Eumeces_elegans,Scincidae,7,7,0,1,30.20,30.20,120.20,Hangzhou_China,-9999.00,31.62,34.50,9.30,41.90,Du et al. 2000,Du et al. 2000,2.8833
Ew,50,Egernia,Egernia_whitii,Egernia_whitii,Scincidae,7,7,0,1,-35.80,35.80,148.50,Australia,33.10,24.02,34.80,4.00,42.80,Huey & Bennett 1987,Bennett & John-Alder 1986,10.7833
N1,51,Pseudemoia,Pseudemoia_entrecasteauxii,Leiolopisma_entreA,Scincidae,7,7,0,1,-36.40,36.40,148.40,Australia,-9999.00,20.48,32.70,2.50,42.80,Huey & Bennett 1987,Bennett & John-Alder 1986,12.2167
N2,52,Pseudemoia,Pseudemoia_entrecasteauxii,Leiolopisma_entreB,Scincidae,7,7,0,1,-36.40,36.40,148.40,Australia,-9999.00,20.48,33.20,2.50,42.80,Huey & Bennett 1987,Bennett & John-Alder 1986,12.7167
Hd,53,Hemiergis,Hemiergis_decresiensis,Hemiergis_decresciensis,Scincidae,7,7,0,0,-34.70,34.70,138.80,Australia,20.30,27.87,33.10,6.80,38.60,Huey & Bennett 1987,Bennett & John-Alder 1986,5.2333
Hp,54,Hemiergis,Hemiergis_peronii,Hemiergis_peroni,Scincidae,7,7,0,0,-34.50,34.50,138.30,ThompsonBeach_Aust,23.60,29.13,30.20,9.60,38.80,Huey & Bennett 1987,Bennett & John-Alder 1986,1.0667
Et,55,Eulamprus,Eulamprus_tympanum,Sphenomorphus_tympanumCT,Scincidae,7,7,0,1,-36.40,36.40,148.40,Australia,30.10,20.48,34.30,2.90,39.80,Huey & Bennett 1987,Bennett & John-Alder 1986,13.8167
Ek,56,Eulamprus,Eulamprus_kosciuskoi,Sphenomorphus_kosciuscoi,Scincidae,7,7,0,1,-36.40,36.40,148.40,Australia,30.60,20.48,34.60,2.50,40.20,Huey & Bennett 1987,Bennett & John-Alder 1986,14.1167
Eq,57,Eulamprus,Eulamprus_quoyi,Sphenomorphus_quoyi,Scincidae,7,7,0,1,-30.50,30.50,151.70,Australia,28.60,26.22,31.10,6.00,40.80,Huey & Bennett 1987,Bennett & John-Alder 1986,4.8833
Cr,58,Ctenotus,Ctenotus_regius,Ctenotus_regius,Scincidae,7,7,0,1,-34.20,34.20,140.00,Australia,36.40,30.92,36.90,8.70,45.10,Huey & Bennett 1987,Bennett & John-Alder 1986,5.9833
ta,59,Ctenotus,Ctenotus_taeniolatus,Ctenotus_taeniolatus,Scincidae,7,7,0,1,-30.50,30.50,151.70,Australia,35.30,26.22,37.30,11.40,44.70,Huey & Bennett 1987,Bennett & John-Alder 1986,11.0833
Cu,60,Ctenotus,Ctenotus_uber,Ctenotus_uber,Scincidae,7,7,0,1,-34.60,34.60,139.60,Australia,35.30,29.95,36.70,9.10,45.50,Huey & Bennett 1987,Bennett & John-Alder 1986,6.7500
Pi,61,Platysaurus,Platysaurus_intermedius,Platysaurus_intermedius,Cordylidae,8,8,0,1,-24.60,24.60,31.20,Cape_SouthAfrica,28.80,31.12,33.00,8.90,44.80,Lailvaux et al. 2003,Lailvaux et al. 2003,1.8833
Lf,62,Lepidophyma,Lepidophyma_flavimaculatum,Lepidophyma_flavimaculatum,Xantusidae,9,8,1,0,10.40,10.40,-83.80,"La_Selva,_CostaRica",-9999.00,31.25,32.90,11.30,38.10,van Berkum 1988,NA,1.6500
Xr,63,Xantusia,Xantusia_riversiana,Xantusia_riversiana,Xantusidae,9,8,0,0,32.90,32.90,-118.50,USA,24.40,21.43,29.00,6.60,39.00,Mautz et al. 1992,Mautz et al. 1992,7.5667
Xv,64,Xantusia,Xantusia_vigilis,Xantusia_vigilis,Xantusidae,9,8,0,0,33.90,33.90,-116.40,CA,33.80,37.17,31.70,6.90,41.60,van Berkum 1988,van Berkum 1988,-5.4667
St,65,Sphaerodactylus,Sphaerodactylus_townsendi,Sphaerodactylus_townsendi,Gekkonidae,10,9,1,0,18.30,18.30,-65.70,PuertoRico,31.00,28.98,29.00,11.40,41.70,çlvarez 1992,çlvarez 1992,0.0167
Sn,66,Sphaerodactylus,Sphaerodactylus_nicholsi,Sphaerodactylus_nicholsi,Gekkonidae,10,9,1,0,18.00,18.00,-66.90,PuertoRico,-9999.00,30.43,31.10,12.60,40.50,çlvarez 1992,çlvarez 1992,0.6667
Sk,67,Sphaerodactylus,Sphaerodactylus_klauberi,Sphaerodactylus_klauberi,Gekkonidae,10,9,1,0,18.10,18.10,-66.00,PuertoRico,24.20,27.83,31.20,10.40,36.30,çlvarez 1992,çlvarez 1992,3.3667
ga,68,Sphaerodactylus,Sphaerodactylus_gaigeae,Sphaerodactylus_gaigeae,Gekkonidae,10,9,1,0,18.10,18.10,-65.90,PuertoRico,27.80,29.17,32.50,12.50,38.20,çlvarez 1992,çlvarez 1992,3.3333
ml,69,Sphaerodactylus,Sphaerodactylus_macrolepis,Sphaerodactylus_macrolepis,Gekkonidae,10,9,1,0,18.00,18.00,-66.90,PuertoRico,29.30,30.43,29.50,11.80,39.50,çlvarez 1992,çlvarez 1992,-0.9333
Sr,70,Sphaerodactylus,Sphaerodactylus_roosevelti,Sphaerodactylus_roosevelti,Gekkonidae,10,9,1,0,18.00,18.00,-66.90,PuertoRico,32.80,30.43,28.70,11.40,39.50,çlvarez 1992,çlvarez 1992,-1.7333
