Genus,Species,Phylum,Class,Order,Family,Realm,Realm_detail,Realm_source,thermy,demers_pelag,demers_pelag_fb,demers_pelag_source,mobility,mobility_source,weight,weight_source,length,lengthType,length_source,fishbase_sci
Myrmicaria,sp.1,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Ocymyrmex,barbiger,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Ocymyrmex,velox,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Odontoponera,sp.1,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Pachycondyla,chinensis,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Pachycondyla,faisonensis,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Pachycondyla,tridentata,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Paratrechina,yambaru,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Pheidole,noda,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Pheidole,pallldula,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Pheidole,sp.1,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Pheidole,tenuinodis,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Pheidologeton,sp.1,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Plagiolepis,pygmaea,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Pogonomyrmex,barbatus,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Pogonomyrmex,californicus,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Pogonomyrmex,desertorum,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Pogonomyrmex,rugosus,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Polyrhachis,bihamata,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Polyrhachis,furcata,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Polyrhachis,sp.1,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Ponera,pennsylvanica,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Prenolepis,imparis,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Pristomyrmex,sp.1,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Proceratium,silaceum,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Proformica,ferreri,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Proformica,longiseta,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Protomognathus,americanus,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Pyramica,rostrata,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Solenopsis,invicta,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Solenopsis,molesta,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Stenamma,impar,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Tapinoma,sessile,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Tapinoma,sp.1,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Technomyrmex,brunneus,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Technomyrmex,sp.1,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Temnothorax,curvispinosus,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Temnothorax,longispinosus,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Temnothorax,pergandei,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Temnothorax,tuscaloosae,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Tetramorium,Triglyphotrixsp,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Tetramorium,bicarinatum,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Tetramorium,caespitum,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Tetramorium,nigerrimum,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Tetramorium,rufescens,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Tetramorium,semilaeve,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Tetramorium,sericeiventre,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Tetramorium,sp.1,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Trachymyrmex,septentrionalis,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Trachymyrmex,smithi_neomexicanus,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.2,body length,mean from Brose et al.,NA
Chondrodactylus,angulifer,Chordata,Lepidosauria,Squamata,Gekkonidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,26.73,Slavenko et al. 2016 database,NA,NA,NA,NA
Chondrodactylus,bibronii,Chordata,Lepidosauria,Squamata,Gekkonidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,19.07,Slavenko et al. 2016 database,NA,NA,NA,NA
Cyrtodactylus,philippinicus,Chordata,Lepidosauria,Squamata,Gekkonidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,17.83,Slavenko et al. 2016 database,NA,NA,NA,NA
Gehyra,variegata,Chordata,Lepidosauria,Squamata,Gekkonidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,7.41,Slavenko et al. 2016 database,NA,NA,NA,NA
Hemidactylus,frenatus,Chordata,Lepidosauria,Squamata,Gekkonidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,6.31,Slavenko et al. 2016 database,NA,NA,NA,NA
Hemidactylus,turcicus,Chordata,Lepidosauria,Squamata,Gekkonidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,4.87,Slavenko et al. 2016 database,NA,NA,NA,NA
Heteronotia,binoei,Chordata,Lepidosauria,Squamata,Gekkonidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,3.66,Slavenko et al. 2016 database,NA,NA,NA,NA
Lepidodactylus,lugubris,Chordata,Lepidosauria,Squamata,Gekkonidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,2.97,Slavenko et al. 2016 database,NA,NA,NA,NA
Ptenopus,garrulus,Chordata,Lepidosauria,Squamata,Gekkonidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,5.23,Slavenko et al. 2016 database,NA,NA,NA,NA
Glossina,pallidipes,Arthropoda,Insecta,Diptera,Glossinidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,,NA,NA,NA,NA
Zelotes,serotinus,Arthropoda,Arachnida,Araneae,Gnaphosidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.00165,mean from Brose et al. dataset,NA,NA,NA,NA
Epigomphus,quadracies,Arthropoda,Insecta,Odonata,Gomphidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Paractora,dreuxi,Arthropoda,Insecta,Diptera,Helcomyzidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Heloderma,suspectum,Chordata,Lepidosauria,Squamata,Helodermatidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,975.3,Slavenko et al. 2016 database,NA,NA,NA,NA
Hodotermes,mossambicus,Arthropoda,Insecta,Isoptera,Hodotermitidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Cyclorana,alboguttatus,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,11.31,AmphiBIO,6.5,body length,AmphiBIO,Litoria alboguttata
Cyclorana,brevipes,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,7.07,AmphiBIO,5,body length,Brose et al. dataset,Litoria brevipes
Hyla,alpina,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,1.69,AmphiBIO,5,body length,AmphiBIO,Litoria ewingii alpina
Hyla,aurea,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,50,AmphiBIO,9.39,body length,AmphiBIO,Litoria aurea
Hyla,bicolor,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.8,AmphiBIO,3,body length,AmphiBIO,Litoria bicolor
Hyla,caerulea,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,50,AmphiBIO,10,body length,AmphiBIO,Litoria caerulea
Hyla,chloris,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,28.9,AmphiBIO,7,body length,AmphiBIO,Litoria chloris
Hyla,citropa,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,8.62,AmphiBIO,6.5,body length,AmphiBIO,Litoria citropa
Hyla,ewingi,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,1.69,AmphiBIO,5,body length,AmphiBIO,Litoria ewingii
Hyla,freycineti,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,3.22,AmphiBIO,4.9,body length,AmphiBIO,Litoria freycineti
Hyla,glauerti,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,1,AmphiBIO,2.5,body length,AmphiBIO,Litoria fallax
Hyla,gracilenta,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,3.7,AmphiBIO,4.5,body length,AmphiBIO,Litoria gracilenta (duplicate record)
Hyla,labialis,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,6.1,body length,AmphiBIO,Dendropsophus labialis
Hyla,lesueuri,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,24,AmphiBIO,7,body length,AmphiBIO,Litoria lesueurii
Hyla,peroni,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,5.88,AmphiBIO,5.57,body length,AmphiBIO,Litoria peronii
Hyla,phyllochroa,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,1.16,AmphiBIO,4,body length,AmphiBIO,Litoria phyllochroa
Hyla,regilla,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,5.6,AmphiBIO,5,body length,AmphiBIO,Pseudacris regilla
Hyla,rothi,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,6.5,AmphiBIO,5.5,body length,AmphiBIO,Litoria rothii
Hyla,rubella,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,3.08,AmphiBIO,3.5,body length,AmphiBIO,Litoria rubella
Hyla,verreauxi,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,1.74,AmphiBIO,3,body length,AmphiBIO,Litoria verreauxi
Hyla,walkeri,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,3.78,body length,AmphiBIO,NA
Litoria,gracilenta,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,3.7,AmphiBIO,5,body length,Brose et al. dataset,NA
Pachymedusa,dacnicolor,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,7.1,AmphiBIO,10.36,body length,AmphiBIO,Agalychnis dacnicolor
Pseudacris,cadaverina,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,5.1,body length,AmphiBIO,NA
Pseudacris,regilla,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,5.6,AmphiBIO,5,body length,AmphiBIO,NA
Pseudacris,triseriata,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,3.9,body length,AmphiBIO,NA
Pternohyla,fodiens,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,7,body length,AmphiBIO,Smilisca fodiens
Smilisca,baudini,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,9,body length,AmphiBIO,NA
Tlalocohyla,smithii,Chordata,Amphibia,Anura,Hylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,3.09,body length,AmphiBIO,NA
Anolis,auratus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,3.9,Slavenko et al. 2016 database,NA,NA,NA,Family is Dactyloidae in Slavenko
Anolis,barbouri,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,3.51,Slavenko et al. 2016 database,NA,NA,NA,Family is Dactyloidae in Slavenko
Anolis,carolinensis,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,8.75,Slavenko et al. 2016 database,NA,NA,NA,Family is Dactyloidae in Slavenko
Anolis,cooki,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,7.14,Slavenko et al. 2016 database,NA,NA,NA,Family is Dactyloidae in Slavenko
Anolis,cristatellus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,9.82,Slavenko et al. 2016 database,NA,NA,NA,Family is Dactyloidae in Slavenko
Anolis,cupreus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,3.9,Slavenko et al. 2016 database,NA,NA,NA,Family is Dactyloidae in Slavenko
Anolis,cybotes,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,11.01,Slavenko et al. 2016 database,NA,NA,NA,Family is Dactyloidae in Slavenko
Anolis,distichus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,4.19,Slavenko et al. 2016 database,NA,NA,NA,Family is Dactyloidae in Slavenko
Anolis,evermanni,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,9.82,Slavenko et al. 2016 database,NA,NA,NA,Family is Dactyloidae in Slavenko
Anolis,frenatus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,67.21,Slavenko et al. 2016 database,NA,NA,NA,Family is Dactyloidae in Slavenko
Anolis,gundlachi,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,9.1,Slavenko et al. 2016 database,NA,NA,NA,Family is Dactyloidae in Slavenko
Anolis,humilis,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,2.65,Slavenko et al. 2016 database,NA,NA,NA,Family is Dactyloidae in Slavenko
Anolis,intermedius,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,3.33,Slavenko et al. 2016 database,NA,NA,NA,Family is Dactyloidae in Slavenko
Anolis,krugi,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,3.51,Slavenko et al. 2016 database,NA,NA,NA,Family is Dactyloidae in Slavenko
Anolis,lemurinus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,10.19,Slavenko et al. 2016 database,NA,NA,NA,Family is Dactyloidae in Slavenko
Anolis,limifrons,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,2.81,Slavenko et al. 2016 database,NA,NA,NA,Family is Dactyloidae in Slavenko
Anolis,lionotus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,9.82,Slavenko et al. 2016 database,NA,NA,NA,Family is Dactyloidae in Slavenko
Anolis,marcanoi,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,5.74,Slavenko et al. 2016 database,NA,NA,NA,Family is Dactyloidae in Slavenko
Anolis,oculatus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,19.22,Slavenko et al. 2016 database,NA,NA,NA,Family is Dactyloidae in Slavenko
Anolis,pentaprion,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,10.58,Slavenko et al. 2016 database,NA,NA,NA,Family is Dactyloidae in Slavenko
Anolis,pulchellus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,2.86,Slavenko et al. 2016 database,NA,NA,NA,Family is Dactyloidae in Slavenko
Anolis,roquet,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,13.09,Slavenko et al. 2016 database,NA,NA,NA,Family is Dactyloidae in Slavenko
Anolis,sagrei,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,8.75,Slavenko et al. 2016 database,NA,NA,NA,Family is Dactyloidae in Slavenko
Anolis,semilineatus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,2.21,Slavenko et al. 2016 database,NA,NA,NA,Family is Dactyloidae in Slavenko
Anolis,shrevei,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,4.54,Slavenko et al. 2016 database,NA,NA,NA,Family is Dactyloidae in Slavenko
Anolis,stratulus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,4.76,Slavenko et al. 2016 database,NA,NA,NA,Family is Dactyloidae in Slavenko
Anolis,tropidogaster,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,5.24,Slavenko et al. 2016 database,NA,NA,NA,Family is Dactyloidae in Slavenko
Anolis,tropidolepis,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,4.32,Slavenko et al. 2016 database,NA,NA,NA,Family is Dactyloidae in Slavenko
Basiliscus,vittatus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,393.67,Slavenko et al. 2016 database,NA,NA,NA,Family is Corytophanidae in Slavenko
Cophosaurus,texanus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,29.09,Slavenko et al. 2016 database,NA,NA,NA,Family is Phrynosomatidae in Slavenko
Crotaphytus,collaris,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,62.21,Slavenko et al. 2016 database,NA,NA,NA,Family is Crotaphytidae in Slavenko
Dipsosaurus,dorsalis,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,159.7,Slavenko et al. 2016 database,NA,NA,NA,NA
Holbrookia,maculata,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,14.61,Slavenko et al. 2016 database,NA,NA,NA,Family is Phrynosomatidae in Slavenko
Liolaemus,abaucan,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,8.64,Slavenko et al. 2016 database,NA,NA,NA,Family is Liolaemidae in Slavenko
Liolaemus,albiceps,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,27.09,Slavenko et al. 2016 database,NA,NA,NA,Family is Liolaemidae in Slavenko
Liolaemus,bibronii,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,27.09,Slavenko et al. 2016 database,NA,NA,NA,NA
Liolaemus,boulengeri,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,15.2,Slavenko et al. 2016 database,NA,NA,NA,NA
Liolaemus,canqueli,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,32.81,Slavenko et al. 2016 database,NA,NA,NA,NA
Liolaemus,capillitas,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,26.21,Slavenko et al. 2016 database,NA,NA,NA,NA
Liolaemus,chacoensis,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,5.15,Slavenko et al. 2016 database,NA,NA,NA,NA
Liolaemus,cuyanus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,37.38,Slavenko et al. 2016 database,NA,NA,NA,NA
Liolaemus,darwinii,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,10.4,Slavenko et al. 2016 database,NA,NA,NA,NA
Liolaemus,dorbignyi,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,34.88,Slavenko et al. 2016 database,NA,NA,NA,NA
Liolaemus,elongatus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,27.72,Slavenko et al. 2016 database,NA,NA,NA,NA
Liolaemus,fitzingerii,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,44.08,Slavenko et al. 2016 database,NA,NA,NA,NA
Liolaemus,irregularis,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,23.67,Slavenko et al. 2016 database,NA,NA,NA,NA
Liolaemus,kingii,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,32.81,Slavenko et al. 2016 database,NA,NA,NA,NA
Liolaemus,koslowskyi,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,17.75,Slavenko et al. 2016 database,NA,NA,NA,NA
Liolaemus,kriegi,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,50.58,Slavenko et al. 2016 database,NA,NA,NA,NA
